model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc
random_forest,0.7740112994350282,0.7238798509719011,0.7093139626435964,0.7153338965940242,0.907442543845901
logistic_regression,0.7310734463276836,0.6981348607195402,0.705655119901419,0.693710026028484,0.8976750434024481
xgboost,0.7661016949152543,0.7047847077722921,0.6803769055609733,0.6877112276077199,0.9051687691846521
majority_baseline,0.4994350282485876,0.1664783427495292,0.3333333333333333,0.22205476011052497,0.5
