model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,dropout_precision,dropout_recall,dropout_f1
xgboost,0.8892655367231639,0.8823577124174851,0.8590377539781116,0.8691492058127746,0.9332626373883902,0.8661417322834646,0.7746478873239436,0.8178438661710037
logistic_regression,0.8790960451977401,0.8582389166751727,0.8701225656769234,0.8636345963039712,0.9316749080171545,0.7920792079207921,0.8450704225352113,0.817717206132879
random_forest,0.8790960451977401,0.8661746804625685,0.8524788498043168,0.8587335472581374,0.9315401560778984,0.8339622641509434,0.778169014084507,0.8051001821493625
majority_baseline,0.6790960451977401,0.33954802259887007,0.5,0.4044414535666218,0.5,0.0,0.0,0.0
